,    华山街道办事处,    护国街道办事处,    大观街道办事处,    龙翔街道办事处,    丰宁街道办事处,    莲华街道办事处,    红云街道办事处,    黑林铺街道办事处,    普吉街道办事处,    沙朗街道办事处,    厂口街道办事处,昆明国家高新技术产业开发区,    拓东街道办事处,    鼓楼街道办事处,    东华街道办事处,    联盟街道办事处,    金辰街道办事处,    青云街道办事处,    龙泉街道办事处,    茨坝街道办事处,    双龙街道办事处,    松华街道办事处,    滇源镇,    阿子营镇,    关上街道办事处,    太和街道办事处,    吴井街道办事处,    金马街道办事处,    小板桥街道办事处,    官渡街道办事处,    矣六街道办事处,    六甲街道办事处,    大板桥街道办事处,    阿拉街道办事处,    昆明经济技术开发区,    西苑街道办事处,    马街街道办事处,    金碧街道办事处,    永昌街道办事处,    前卫街道办事处,    福海街道办事处,    棕树营街道办事处,    碧鸡街道办事处,    海口街道办事处,    团结街道办事处,昆明滇池国家旅游度假区,    龙城街道办事处,    洛龙街道办事处,    斗南街道办事处,    乌龙街道办事处,    吴家营街道办事处,    雨花街道办事处,    七甸街道办事处,    洛羊街道办事处,    大渔街道办事处,    马金铺街道办事处
五华区人民医院,0.5293557084331884 km,1.8713694803125143 km,0.773364025407867 km,0.43816700018005733 km,1.6057608471582194 km,2.4530382747000528 km,6.483518843314045 km,4.923758869658153 km,5.2851110980090406 km,1.0153141476748593 km,2.0990593779481057 km,5.154651442422305 km,2.964705559104558 km,2.0990593779481057 km,3.413872072793935 km,2.7623112927631954 km,4.099045371202124 km,5.175951824333773 km,8.266423754049493 km,11.547595190979923 km,16.91967659092974 km,21.455355840091364 km,32.69179114327074 km,33.41643904583655 km,5.956237336582666 km,3.626792468924171 km,3.907455100082639 km,5.175357449960636 km,11.013044294991309 km,11.84055474265399 km,14.54208542287965 km,10.574857750967348 km,31.75727775098006 km,11.083513426183352 km,14.387088821663982 km,3.213260349457944 km,5.178297656818027 km,1.8918368627299051 km,3.1948524408057457 km,5.1742216811455854 km,4.377894342862305 km,1.4911331033618722 km,10.278122807145818 km,30.535719437914622 km,16.737882177966295 km,8.125441554475271 km,20.64925262738544 km,24.888667956533478 km,17.745131820454116 km,20.08471540506109 km,26.846869212858 km,27.145353666185414 km,27.13341878874095 km,20.995652341779156 km,26.15266750193312 km,30.838655508568117 km
昆明医科大学第一附属医院,0.9077938944356612 km,2.1243510858095505 km,0.21155404044118745 km,0.4165853334036059 km,1.6609605548631927 km,3.1676298397908726 km,7.310726060865777 km,4.801260179040781 km,5.672166180181968 km,1.45612505522155 km,2.660914009839513 km,5.193794407515406 km,3.181585334133716 km,2.660914009839513 km,3.991502190953833 km,3.4145586360247155 km,4.9482151954884435 km,5.907640709432225 km,9.120197102773185 km,12.373081110188965 km,17.674442012691635 km,22.308119888349083 km,33.54506835618441 km,34.21055107835974 km,5.945834058605422 km,3.654475690296828 km,4.122001569115943 km,5.561920251236971 km,10.924830820908815 km,11.573235306473498 km,14.171445069180832 km,9.913212432978272 km,32.52569192248626 km,11.231968114723422 km,14.5131695774491 km,2.6546849784478685 km,4.602103761661236 km,1.129176421344897 km,2.838502363939561 km,4.677063797480013 km,3.5609536321831214 km,0.6825531343415973 km,9.434911203161194 km,29.73294924858273 km,16.359050142129643 km,7.289002175104953 km,20.37060331560573 km,24.66373577427858 km,17.458837433804465 km,19.77277424650868 km,26.562503677420427 km,26.826477471093877 km,27.362107516591603 km,20.813429362713244 km,25.72559870470913 km,30.378862323965073 km
昆明医科大学第二附属医院,2.228407370558287 km,3.597268818091218 km,1.933769895711843 km,1.696732362890545 km,0.12732278433637087 km,2.2488588914934633 km,6.568043784442365 km,3.1962339250272414 km,3.959303003257084 km,2.745344680329077 km,3.75844170333393 km,3.453063620942197 km,4.692495507265497 km,3.75844170333393 km,5.019168942479399 km,4.3102072726516445 km,4.9109929977877105 km,6.5000266100189625 km,8.677405908801953 km,11.529255649131583 km,18.064746053642082 km,21.951713488390734 km,32.959248418992004 km,33.12022835893708 km,7.637850299618139 km,5.314065433799724 km,5.636855191447706 km,6.876625812541793 km,12.663428234088045 km,13.355625309960852 km,15.943441649227674 km,11.46802551127776 km,32.82584536916697 km,12.81192517004888 km,16.113836704282654 km,2.085612729491763 km,3.8979872131689857 km,2.768088052252834 km,4.6212215520134095 km,6.421664261819735 km,4.837793916023156 km,1.785289573989033 km,9.833613067728377 km,30.8580869582804 km,15.09174983882707 km,8.324310103616869 km,22.153313158083435 km,26.4439463472305 km,19.2414411499165 km,21.55359630813549 km,28.344953516538506 km,28.605951467413327 km,28.85961475899308 km,22.58623411866281 km,27.47377063149817 km,32.1086864486414 km
云南省第二人民医院,1.4048384905535916 km,1.092618163824284 km,2.126588458451301 km,1.982013807169162 km,3.1671720184592336 km,2.915366729446679 km,5.975044079514056 km,6.449059861332237 km,6.213817310741919 km,0.9113032234708965 km,0.5003402071933912 km,6.542733286773572 km,1.8271399539368969 km,0.5003402071933912 km,1.7537216893704501 km,1.1074165987102067 km,3.0834556790528977 km,3.606427874669976 km,7.3655554467201885 km,10.95188051976191 km,15.376544558806609 km,20.32872134597274 km,31.71354048378495 km,32.927159635157416 km,4.927822566212708 km,2.7264580332675665 km,2.6442891026006894 km,3.624773982016705 km,9.989647229412883 km,11.119030082881373 km,13.994035606340878 km,10.780600703393283 km,30.23554575390505 km,9.722392767637825 km,13.033525814596787 km,4.87085835512215 km,6.836884385564915 km,2.9197381863859024 km,3.120260011575974 km,5.15119906816844 km,5.302151715491859 km,2.9926743757393255 km,11.592516785774567 km,31.161378636862285 km,18.364833476304817 km,9.05529249943129 km,19.8843896485454 km,24.013392119788627 km,17.00850209148458 km,19.38497202904119 km,26.0731679071384 km,26.43576890267909 km,25.644583864099786 km,20.05938283063535 km,25.665105255746912 km,30.411776380498388 km
云南省妇幼保健院,0.6576194851566527 km,1.0416351749564685 km,1.3801178571289205 km,1.244344698986486 km,2.555575714680811 km,2.8036055085702425 km,6.350785961988179 km,5.871687502775513 km,5.952371154908691 km,0.2739126826908343 km,1.1330705528943854 km,6.04800164801413 km,2.0832044691587446 km,1.1330705528943854 km,2.4603649753003314 km,1.8513282419106896 km,3.6341161827670776 km,4.34955070138867 km,7.905449947599701 km,11.384207027162542 km,16.119473119302974 km,20.964222336332483 km,32.30251385285657 km,33.334933767609385 km,5.160765702113437 km,2.8539192128303243 km,3.004103317825209 km,4.206148086538516 km,10.238603653212413 km,11.20979341380377 km,14.003844810618311 km,10.446734677515206 km,30.97621475401297 km,10.172646492736494 km,13.481394302848202 km,4.144652695515332 km,6.109753774974617 km,2.235974478282822 km,2.826797946766003 km,4.878763493358621 km,4.6820253263942355 km,2.2454508590521662 km,10.886139474826578 km,30.683168842949932 km,17.711372868029116 km,8.451913560308544 km,20.007633110183903 km,24.19545517192861 km,17.11520875565605 km,19.475119557925517 km,26.204030442455934 km,26.534616274256216 km,26.1855477825157 km,20.271527142546567 km,25.655788087264188 km,30.37579581462092 km
昆明市妇幼保健院,0.6576194851566527 km,1.0416351749564685 km,1.3801178571289205 km,1.244344698986486 km,2.555575714680811 km,2.8036055085702425 km,6.350785961988179 km,5.871687502775513 km,5.952371154908691 km,0.2739126826908343 km,1.1330705528943854 km,6.04800164801413 km,2.0832044691587446 km,1.1330705528943854 km,2.4603649753003314 km,1.8513282419106896 km,3.6341161827670776 km,4.34955070138867 km,7.905449947599701 km,11.384207027162542 km,16.119473119302974 km,20.964222336332483 km,32.30251385285657 km,33.334933767609385 km,5.160765702113437 km,2.8539192128303243 km,3.004103317825209 km,4.206148086538516 km,10.238603653212413 km,11.20979341380377 km,14.003844810618311 km,10.446734677515206 km,30.97621475401297 km,10.172646492736494 km,13.481394302848202 km,4.144652695515332 km,6.109753774974617 km,2.235974478282822 km,2.826797946766003 km,4.878763493358621 km,4.6820253263942355 km,2.2454508590521662 km,10.886139474826578 km,30.683168842949932 km,17.711372868029116 km,8.451913560308544 km,20.007633110183903 km,24.19545517192861 km,17.11520875565605 km,19.475119557925517 km,26.204030442455934 km,26.534616274256216 km,26.1855477825157 km,20.271527142546567 km,25.655788087264188 km,30.37579581462092 km
华山社区卫生服务中心,0.8087735202902872 km,1.9959377032725385 km,1.179940879080228 km,0.8347214160312036 km,1.6186540775835263 km,2.079370238347299 km,6.076680987984366 km,4.913538119448624 km,5.033866783557381 km,1.1267123373366776 km,2.026422213850093 km,5.065350714453888 km,3.062927692535774 km,2.026422213850093 km,3.2939493809893143 km,2.60084609765208 km,3.731274885606933 km,4.926986605697457 km,7.872775863595909 km,11.140738990361125 km,16.637723163771838 km,21.075494781751857 km,32.29664089640858 km,33.010980244471305 km,6.119193241127714 km,3.797424965513356 km,3.9877221989446747 km,5.150602556484572 km,11.192068000336688 km,12.091031456861273 km,14.828883373722864 km,10.956353886915789 km,31.462301767058598 km,11.155629307289377 km,14.464731914278202 km,3.4340843887365606 km,5.387285986327196 km,2.2983066377454646 km,3.511509438883134 km,5.51829163272148 km,4.784732672935368 km,1.8561060656946144 km,10.645488336256989 km,30.942243635289387 km,16.817680123394222 km,8.530446756288177 km,20.897622526276415 km,25.11394304070285 km,17.997928331394387 km,20.34631849238284 km,27.095467210123896 km,27.407417535222706 km,27.153180060114437 km,21.204879806676267 km,26.455600966409797 km,31.15255860751244 km
大观社区卫生服务中心,0.4062549015598359 km,1.5297837985870881 km,0.3888494042207435 km,0.506897626401351 km,2.0753354012212797 km,3.1633614836862427 km,7.119036935558548 km,5.321895464984532 km,5.946224802004953 km,0.8805320400257537 km,2.0843667717231167 km,5.653620969510416 km,2.599406200943315 km,2.0843667717231167 km,3.4095283548280646 km,2.8592248898899806 km,4.582174121465663 km,5.378296973579962 km,8.815798784044894 km,12.180175210849326 km,17.14835577612196 km,21.942123043918237 km,33.23664207922219 km,34.079142282701284 km,5.442079706055824 km,3.127139129844215 km,3.5443520357815856 km,4.964290093945664 km,10.461206734056697 km,11.204365664477212 km,13.870044824241756 km,9.86628565625158 km,32.007233960156775 km,10.680690838061212 km,13.969963640382216 km,3.2536931405406544 km,5.199837825132778 km,1.270881650243638 km,2.5106790987272674 km,4.467091415293193 km,3.766443265496129 km,1.245997603138159 km,9.863050880528762 km,29.885987671188815 km,16.94997150758296 km,7.53463470808163 km,20.011420871437398 km,24.274053472040105 km,17.1036656544698 km,19.43402052997401 km,26.207656825277418 km,26.493077136461615 km,26.793700309354914 km,20.39993448832091 km,25.466271023016635 km,30.14457716858349 km
丰宁社区卫生服务中心,3.1751263668419054 km,4.538135752759614 km,2.687093339027272 km,2.5716741586794045 km,1.2485591015630788 km,3.2567776757137996 km,7.479958198448054 km,2.329040184060447 km,4.0415674399324075 km,3.733500537301472 km,4.830288639463887 km,2.867178809591995 km,5.626372100263222 km,4.830288639463887 km,6.122817496441417 km,5.4310388597185195 km,6.0441010765600796 km,7.661224838648738 km,9.679146521643409 km,12.336387764480087 km,19.21629666202391 km,22.936384967561235 km,33.84022614245217 km,33.713746753225664 km,8.429657506841714 km,6.143439639873603 km,6.57408626139293 km,7.912705124980124 km,13.372746878228956 km,13.882793519931264 km,16.335376454014014 km,11.458905369622668 km,33.96231495792278 km,13.715312831721109 km,17.000541862165008 km,1.1810725717187944 km,2.7712416739872174 km,3.1729773977769717 km,5.203126243992693 km,6.789243149452778 km,4.722089436393993 km,2.15799107977719 km,8.998992174229528 km,30.36826728182661 km,13.999473923118545 km,7.890813161686553 km,22.63827223986511 km,26.98526245318733 km,19.724277715347892 km,21.999394239339605 km,28.8127968866157 km,29.03008420580515 km,29.825956128887356 km,23.18078683463989 km,27.753468608972607 km,32.332298515572326 km
海源社区卫生服务中心,7.468237482052348 km,8.822591262977285 km,7.151626358288707 km,6.943893418414409 km,5.376454080099506 km,5.841631250399957 km,8.329715935123378 km,2.328760821961074 km,3.0980667588726756 km,7.955282244075882 km,8.821840260544962 km,1.7986761239004245 km,9.910603706181098 km,8.821840260544962 km,9.93387344419402 km,9.186005329794618 km,8.612286920470172 km,10.812508609887548 km,10.740718382181917 km,12.004042402237737 km,21.320154220646952 km,23.21669088662024 km,33.27584635303031 km,31.723662587115534 km,12.886857002815706 km,10.562839577429246 km,10.844420356714284 km,11.934680911678461 km,17.899634668185268 km,18.466171909645148 km,20.88786880573486 km,15.68931034076269 km,35.58325643493122 km,18.01463952003577 km,21.323892065951906 km,5.196496109440671 km,4.832653685844097 km,7.755753946896823 km,9.770412973374363 km,11.357592895158863 km,9.031584078523535 km,6.735664594396236 km,11.260093641242179 km,33.323646231056124 km,10.892518484141545 km,11.508220204185875 km,27.215832514588172 km,31.56858141605844 km,24.302284584669156 km,26.56709321202701 km,33.38466438092609 km,33.58645772380928 km,33.95198541718055 km,27.759486589323988 km,32.218566906857255 km,36.738635629119614 km
